coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1911231,"W.A. Weber",,1951-08-08,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:9941b1e2-8895-49d0-9673-75ff1291bc1a,"2012-09-06 15:37:14"
1911231,"Chris Lee",,2015,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,,urn:uuid:6950f46e-769f-401c-8130-2769547611cc,"2015-11-17 09:27:32"
202023,"Chris Lee",,2015,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,"University of British Columbia Herbarium",urn:uuid:85bb9ce9-9b03-4265-af22-0253cb332f05,"2015-10-28 11:06:33"
202023,unknown,,unknown,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,,urn:uuid:de767d22-7519-482a-962e-bfea219fea23,"2015-10-28 11:06:33"
231437,"Chris lee",,2015,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,"University of British Columbia Herbarium",urn:uuid:7f68157a-c0c7-42cd-abf6-d7e4684df950,"2015-10-28 10:20:20"
231437,unknown,,unknown,,"Townsendia leptotes",,"(A. Gray) Osterhout",,,,,,,urn:uuid:c837f18f-f5a2-48a9-ba55-efe7deb02f91,"2015-10-28 10:20:20"
230634,"Chris lee",,2015,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,"University of British Columbia Herbarium",urn:uuid:aaaaeb2b-49a5-453b-9bec-b9d4a7c1a0de,"2015-10-28 10:18:38"
230634,unknown,,unknown,,"Townsendia leptotes",,"(A. Gray) Osterhout",,,,,,,urn:uuid:be519a9f-dba8-4050-b7b6-c8721886b6e5,"2015-10-28 10:18:38"
1547476,,,2003-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:9abec19c-7908-4613-97c7-5aa15d2e14a5,"2014-10-03 06:18:38"
1547476,"not specified",,2003-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:4b116bed-5b6a-4d61-965d-a221f97648e3,"2021-01-07 16:23:24"
13084912,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,"Cited by Beaman, Contr. Gray Herb. 81: 183.",urn:uuid:07f68dea-3660-4b41-a5e6-b1788f604b31,"2017-01-28 06:43:26"
13084912,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,"Cited by Beaman, Contr. Gray Herb. 81: 183.",urn:uuid:8b3bfff8-15cb-4e59-91c9-33131604ebc1,"2021-01-07 16:23:24"
13084911,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:ac7864a0-7be9-4f5a-88ec-b96a89642df7,"2017-01-28 06:43:26"
13084911,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:43ed67fa-b9ed-45f8-8a51-e3b089f07797,"2021-01-07 16:23:24"
13078535,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:54af2d45-ba44-47dd-94ca-2f1e46830c28,"2021-01-07 16:23:24"
