coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
13076749,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:74cf8bbf-3ea8-4698-81be-3d7cb42fd100,"2021-01-07 16:23:24"
13076316,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:b511d7aa-3c82-4f8b-8c25-d65b29e6b7d2,"2021-01-07 16:23:24"
13074813,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:fb9ee05b-1f75-4b5a-8de6-69dbbfc03ca6,"2021-01-07 16:23:24"
13057463,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:6667e9c1-c3bb-4ff8-8082-c93958f8ae51,"2021-01-07 16:23:24"
13054523,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:9c0f7358-b449-4b48-a71b-78fd035ba52f,"2021-01-07 16:23:24"
4835372,,,,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:938533e7-e0cc-4b76-ad0b-48a7b12b52f4,"2014-10-03 06:18:38"
4835372,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:a2ab147e-b680-449b-8280-0a367f5d419b,"2021-01-07 16:23:24"
4835446,,,,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:953e8a69-2033-40b7-a428-bf3ce6957fa7,"2014-10-03 06:18:38"
4835446,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:58533b31-9c99-4282-8ace-444c42fa3f91,"2021-01-07 16:23:24"
4851302,,,,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:1f0dce55-5847-4ad5-9471-cb3c854a1c96,"2014-10-03 06:18:38"
4851302,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:a9032a95-777c-4025-9b25-8e5596d9f27d,"2021-01-07 16:23:24"
13078295,"not specified",,"not specified",,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:e6085f5f-5360-4335-8ab7-74195f4d8b59,"2021-01-07 16:23:24"
13084914,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:f1051402-e2b7-4f43-9437-cf60bf1edc58,"2017-01-28 06:43:26"
13084914,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:b83aedde-a9ce-4faf-bae7-1cb207cd055d,"2021-01-07 16:23:24"
13084915,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:bb78b970-59b7-4cbc-ac38-599db33f7051,"2017-01-28 06:43:26"
13084915,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:e5ca3fc2-8244-477b-8218-5129af5564ee,"2021-01-07 16:23:24"
13084917,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:1946bb6f-a1ff-4004-b355-eff59761b489,"2017-01-28 06:43:26"
13084917,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:32d85c9e-18b4-4af1-85dd-44d29b9620e7,"2021-01-07 16:23:24"
13084916,,,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:444a675a-0240-49a4-9bd9-933689db2f07,"2017-01-28 06:43:26"
13084916,"not specified",,2015-00-00,,"Townsendia rothrockii",,"A. Gray ex Rothr.",,,,,,,urn:uuid:d39e44a2-b54f-46f2-9b89-52b3125fbc1e,"2021-01-07 16:23:24"
8801547,"Zorio, Stephanie D.",,2015-05-22,,"Townsendia hookeri",,Beaman,,,,,"Colorado Flora Western Slope 4th ed. (2012)",,urn:uuid:23b8f033-9ca3-41c6-ac87-8838bdf28209,"2016-04-06 14:45:28"
8801547,"Williams, Charles F.",,2015-08-10,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,"CO Flora W Slope, 4th ed.",,urn:uuid:d0fe1d80-edc9-4770-9446-4659ac5282b5,"2016-04-06 14:45:28"
21776434,"Nomenclatural Adjustment",,2019-05-26,,"Townsendia rothrockii",,"A. Gray ex Rothrock",,,,,,,urn:uuid:9d00d54a-d1bc-43ff-8fb1-6bcb42ffc4e2,"2019-05-26 11:05:12"
21776434,unknown,,s.d.,,"Townsendia rothrockii",,"Gray ex Rothrock",,,,,,,urn:uuid:bccb5312-90d3-4455-ad4a-2641e37cec6e,"2019-05-26 11:05:12"
23005215,"not specified",,"not specified",,"Townsendia rothrockii A. Gray ex Rothrock",,"A. Gray ex Rothrock",,,,,,,urn:uuid:7c05d413-7ca5-4ed3-ad54-912bc6ee3e8a,"2020-02-13 13:52:16"
