id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
1549667,USFS,,USFS,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,484662,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"S. Duval Anderson",100,1925-06-02,1925,6,2,153,,1925-6-2,,,,,,,,,,,"flowering and fruiting",,,,,,U.S.A.,Colorado,Archuleta,,"San Juan National Forest: Devil Creek: phone booth.",,,,,,,,,,,,2134,,,,,"7000 ft.",,English,,"2009-03-19 16:04:26",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:14aadbb5-c9c2-4503-b712-6f510a911e6f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1549667
1550089,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,393610,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"Steve L. O'Kane",2066,1985-06-04,1985,6,4,155,,1985-6-4,,"West exposure of Mancos Shale; with Pinus ponderosa, Poa, Potentilla, Rosa and Clematis.",,,,,,,,,flowering,,,,,,U.S.A.,Colorado,Archuleta,,"0.2 mi N of Pagosa Springs.",,,,,,"T35N R1W S18 NE1/4 of NW1/4 of NW1/4",,,,,,2195,,,,,"2195 m.",,English,,"2009-03-19 16:04:26",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5e8f341e-fec9-44d4-b0e6-7bfe8caf656e,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1550089
1553128,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,229358,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"William A. Weber, C. F. Livingston",6238,1951-06-16,1951,6,16,167,,1951-6-16,,"Mesa slopes.",,,,,,,,,"flowering and fruiting",,,,,,U.S.A.,Colorado,Archuleta,,"Ca 12 mi N of Arboles.",,,,,,,,,,,,1951,,,,,"6400 ft.",,English,,"2013-02-06 11:10:59",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:abb0337f-1188-4a08-93c7-8659862fc4b2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1553128
2787918,NY,,,b39167b5-1732-4bbf-aeda-9b8ede470fbd,PreservedSpecimen,e52ca4dc-29ae-4f53-ba18-3bdaefadc1e1,274156,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,isotype,"J. S. Newberry",s.n.,1859-07-29,1859,7,29,21,21,"29 Jul 1859",,,,,,,,,,,,,,,,sheet,"United States of America",Colorado,,,"La Pajon",,,,,,,,,,,,,,,,,,,en,,"2022-03-04 14:28:26",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:521be22e-2562-4790-92f9-69efa0a5b6e3,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=2787918
3013013,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c2c93d46-d268-4b3f-895e-dddbfd77cc87,107770,94972,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"collectors: Ken Heil",10099,1996-07-12,1996,7,12,194,,"12 July 1996",,,,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,"Archuleta County, CO. Ca. 7 mi south of Pagosa springs on Hwy 84 to State Road 325 (Blanco Basin Rd). Along the Piato Blanco Creek.",,37.18,-106.93,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 14:38:37",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c2c93d46-d268-4b3f-895e-dddbfd77cc87,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3013013
3039617,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,0affd7fc-c4bc-46bd-bbce-fe69580d50ac,KHD00034111,17763,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,ASTERACEAE,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"John B. Hartwell; C. William T. Penland; Brown",1891,1918-06-11,1918,6,11,162,,,,"Clay soil",,,,,,,,,Flower,,,,,,USA,Colorado,Archuleta,,"Highway 160 about 13 miles from Pagosa Springs",,37.225604,-107.211896,,1000,"13N 0303764E 4122192N",,,"TERRAIN NAV",,"Certainty code: 4",2073,,,,,"6800 FT",,,,"2018-04-10 12:54:01",http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain","Public Domain",urn:uuid:0affd7fc-c4bc-46bd-bbce-fe69580d50ac,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3039617
3039619,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,ee94e2d6-7ab8-4b21-86db-a5d5cdbdddbd,KHD00034114,17765,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,ASTERACEAE,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"John B. Hartwell; C. William T. Penland",1782,1947-05-31,1947,5,31,151,,,"common; Survey of Golden Gate Canyon State Park, Colorado Native Plant Society,; Ray flower purple","Shale bank",,,,,,,,,Flower,,,,,,USA,Colorado,"La Plata",,"shale bank - 3 miles East of foot Mancos Hill",,37.281495,-107.816677,,,"13N 0250283E 4129820N",,,"TERRAIN NAV",,"Certainty code: 7",,,,,,,,,,"2018-04-10 12:54:01",http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain","Public Domain",urn:uuid:ee94e2d6-7ab8-4b21-86db-a5d5cdbdddbd,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3039619
3039620,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,bba6aa07-df78-4674-967f-65afa3cdfa72,KHD00034113,17766,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,ASTERACEAE,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"George W. Kelly; Det. by William A. Weber",210B,1947-06-05,1947,6,5,156,,,", Donor: Colorado Forestry & HortIculture Association Herbarium",,,,,,,,,,Flower,,,,,,USA,Colorado,Archuleta,,"San Juan River, near Pagoas Springs",,37.253264,-107.010227,,1000,"13N 0321723E 4124862N",,,"TERRAIN NAV",,"Certainty code: 4",,,,,,,,,,"2018-04-10 12:54:01",http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain","Public Domain",urn:uuid:bba6aa07-df78-4674-967f-65afa3cdfa72,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3039620
3041805,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,4eb60718-6503-4052-b040-9bc907c38f73,KHD00034112,22625,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,ASTERACEAE,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"Berta Anderson",,1977-06-09,1977,6,9,160,,,,,,,,,,,,,Flower,,,,,,USA,Colorado,Archuleta,,"South of Pagosa Springs on shale outcropping beside US 84",,37.248369,-106.992183,,5000,"13N 0323312E 4124285N",,,"TERRAIN NAV",,"Certainty code: 5",2164,,,,,"7100 FT",,,,"2018-04-10 12:54:01",http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain","Public Domain",urn:uuid:4eb60718-6503-4052-b040-9bc907c38f73,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3041805
3053019,DBG,KHD,,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,PreservedSpecimen,f4d8e1bf-eeaa-43e5-8c89-9b8ab890ea4e,KHD00016385,40827,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Townsendia",Plantae,Magnoliophyta,,Asterales,ASTERACEAE,"Townsendia glabella",103695,"A. Gray",Townsendia,,glabella,,,Species,,,,,,,,"Stanley Smookler; Linda Senser",381,2006-05-23,2006,5,23,143,,,"Note that the white ray flowers after being dried, have faded to lavender.; Low white-ray daisy-like plants scattered to common in mound-like custers.","Steep slope of shale debris and silt",,,,,,,,,Flower,,,,,,USA,Colorado,Archuleta,,"10 to 15 miles north of Chama CO on US hwy 84, at roadside northeast of Sixhorse Canyon",,37.14552,-106.931004,,,"13N 0328506E 4112761N",,,"Terrain Navigator, Graphical Locater",,"Certainty code: 1",2176,,,,,"7140 FT",,,,"2018-04-10 12:54:01",http://creativecommons.org/publicdomain/zero/1.0/,"Public Domain","Public Domain",urn:uuid:f4d8e1bf-eeaa-43e5-8c89-9b8ab890ea4e,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=3053019
