id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
227692,"Utah State University",UTC,,PreservedSpecimen,USU:UTC:185369,UTC00185369,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"E Neese ",,13375,1983-05-24,1983,5,24,144,,,,"P-J Black sage comm. Morrison Form  Rock-littered clay  sandy pockets ",,,,,,,,,,,,,0,,,,,"United States",Colorado,Mesa,,"N side of Black Ridge  6 air mi S of Fruita ",,0,,,,,,,,,,,,2042,,,,,,,,,"2016-11-30 11:49:51",185369,16,urn:uuid:ef11d065-a114-4152-bdaf-bc4494fd7f45,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=227692
250785,"Utah State University",UTC,,PreservedSpecimen,USU:UTC:243809,UTC00243809,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"Robert Merrill King, Robert M. Garvey",,13765,2005-06-02,2005,6,2,153,,,"Duplicate.  Flowers yellow.  Silica gel dried leaves preserved at the DNA Bank, Missouri Botanical Gardens.",,,,,,,,,,,,"fl. & fr.",,0,,,,,"United States",Colorado,Mesa,,"Colorado National Monument; Along Rim Rock Drive, ca. 1 mile inside East Entrance.",,0,,39.0369444,-108.6372222,,,,,,Label,,,1550,,,,,,,,,"2016-11-30 11:49:51",243809,16,urn:uuid:1f2d2902-d408-46f2-8a76-3dab30b3242a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=250785
491751,CS,,,PreservedSpecimen,a3381255-39d3-4e2e-adcf-66699c71dae6,101362,71130,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"collectors: E Neese 13375",,,1983-05-24,1983,5,24,144,,"24 May 1983",,"rock littered clay, sandy pockets",,,,,,,,,,"pinon, juniper, black sage",,,,,,1,,"United States",Colorado,"Mesa County",,"N side of Black Ridge, 6 air mi S of Fruita",,,,39.06,-108.76,WGS84,,,,,,,,2042,,,,,6700ft.,,en,,"2017-01-16 19:29:25",1314,30,urn:uuid:a3381255-39d3-4e2e-adcf-66699c71dae6,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491751
491752,CS,,,PreservedSpecimen,b979421f-cd69-4012-bde0-7f66a59ee649,109219,70873,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"collectors: E Neese 13279",,,1983-05-14,1983,5,14,134,,"14 May 1983",,siltstone,,,,,,,,,,"Hilaria, shadscale",,,,,,1,,"United States",Colorado,"Mesa County",,"slopes SE of Hwy 340, CO River bridge, ca 2 mi S of Fruita",,,,39.12,-108.72,WGS84,,,,,,,,1417,,,,,4649ft.,,en,,"2017-01-16 19:29:25",9100,30,urn:uuid:b979421f-cd69-4012-bde0-7f66a59ee649,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=491752
519620,CS,,,PreservedSpecimen,414ab95c-b9e1-4e8e-b570-a5a5fc68eed1,109218,80421,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"collectors: J Anderson",,64,1987-06-08,1987,6,8,159,,"08 June 1987",,Pinyon-Juniper,,,,,,,,,,,,,,,,1,,"United States",Colorado,"San Miguel County",,"Klondike Basin. Ca. 3 mi S of Hwy 141.",,,,37.98,-108.64,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 16:20:35",9099,30,urn:uuid:414ab95c-b9e1-4e8e-b570-a5a5fc68eed1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=519620
892542,ARIZ,,,PreservedSpecimen,urn:uuid:074c96e8-fd40-4c29-8854-a4be8ffbf35c,647,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,"Marcus E. Jones",1891-05-06,,,,,,"Marcus E. Jones","A. M.",s.n.,1891-05-06,1891,5,6,126,,"May,6,1891",,,,,,,,,,,,,Fruiting,,,,,,,"United States",Utah,,,Westwater.,,,,,,,,,,,,,,,,,,,,,,Renee,"2014-01-10 13:15:49",183854,2,urn:uuid:d68a2447-9ec6-4341-a64e-a22c5d123b6b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=892542
892543,ARIZ,,,PreservedSpecimen,urn:uuid:c8a7a914-f39c-4454-8b9b-27e08c1c7457,125220,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,"Leslie N. Goodding",1938-07-29,,,,,,"L. N. Goodding",,4787,1938-07-29,1938,7,29,210,,"July,29,1938","Strong seleniferous odor.",,,,,,,,,,,,Fruiting,,,,,,,"United States",Utah,,,"5 miles West of Moab.",,,,,,,,,,,,,,,,,,,,,,Renee,"2019-04-04 16:01:13",183855,2,urn:uuid:69e5637d-9568-4bce-9ba0-7900d8aa4c6d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=892543
1360187,RM,,RM,PreservedSpecimen,,713809,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"Lynn Marie Moore",,4168,1995-05-20,1995,5,20,140,,1995-5-20,,"Pinyon-juniper, Artemesia, greasewood, Atriplex on sloped area facing west and disturbed from past mining.",,,,,,,,,,,"flowering and fruiting",,,,,,,U.S.A.,Colorado,Montrose,,"Upper Dolores River Drainage and Adjacent Areas: Wedding Bell Mountain, 14 air mi SW of Nucla on County Road U29.",,,,38.1532,-108.8422,,,"38.1532° N, 108.8422° W; T45N R18W S15",,,,,,2043,2165,,,,"6700-7100 ft.",,English,,"2009-03-19 15:52:21",RM-311471,50,urn:uuid:95cc1055-70ef-4689-b6f3-455920b8572a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1360187
1531355,RM,,RM,PreservedSpecimen,,80749,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"Edwin B. Payson",,278,1914-05-06,1914,5,6,126,,1914-5-6,,,,,,,,,,,,,"flowering and fruiting",,,,,,,U.S.A.,Colorado,Montrose,,Naturita.,,,,,,,,,,,,,,1646,,,,,"5400 ft.",,English,,"2013-02-06 11:10:43",RM-483118,50,urn:uuid:8e2aaee9-562f-4921-9a2e-452ac0e3f5f7,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1531355
1538525,RM,,RM,PreservedSpecimen,,167819,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus eastwoodiae",45965,M.E.Jones,Astragalus,,eastwoodiae,,,Species,,,,,,,,"George E. Osterhout",,6549,1926-06-17,1926,6,17,168,,1926-6-17,,,,,,,,,,,,,"flowering and fruiting",,,,,,,U.S.A.,Colorado,Garfield,,"West of Rifle.",,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:10:50",RM-489623,50,urn:uuid:fc15f6ac-7d07-4f47-9424-16b61038ccb2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=1538525
