"Max_mean_dist_1","Max_mean_dist_2","Max_mean_dist_3","Max_mean_dist_4","Max_mean_dist_5","Max_mean_dist_6","Max_mean_dist_7","Max_mean_dist_8","Max_mean_dist_9","Max_mean_dist_10"
6,6,6,6,3,6,6,6,6,6
8,8,8,8,6,8,8,8,8,8
9,27,27,13,8,16,27,27,27,27
27,35,29,27,27,27,34,36,39,30
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
11,11,11,11,11,11,11,11,11,11
18,18,18,18,18,18,18,18,18,18
19,19,19,19,19,19,19,19,19,19
22,22,22,22,22,22,22,22,22,22
33,33,33,33,33,33,33,33,33,33
