coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4019903,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bcc52ab8-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d407376e-ec99-4e08-b435-5b6f06a5d887,"2014-02-21 18:08:59"
4019904,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bcc53638-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:82703f04-5b89-4736-ab4b-f2f71d6e69c5,"2014-02-21 18:08:59"
4019905,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bcc537f0-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:b015bd8f-6777-4059-bcc6-21895b3ffaf9,"2014-02-21 18:08:59"
4023708,unknown,,unknown,,Delphinium,4425,,Delphinium,,,,,c057583b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6be48cd2-46bc-4a0a-ac88-ba04d929eafb,"2014-02-21 18:08:59"
4023708,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bce572bd-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:795b7450-fdf5-4efe-a6f5-effcea5184d4,"2014-02-21 18:08:59"
4027603,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bcf9b5e4-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:61b642f2-d603-43cf-ac37-53ed25ee8eaf,"2014-02-21 18:08:59"
4031012,"R.C. Sivinski,",,1999-01-01,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bd14f059-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:0ce7959c-4115-49b6-93e3-f7eec48a6e55,"2014-02-21 18:08:59"
4031012,unknown,,unknown,,Delphinium,4425,,Delphinium,,,,,c0575693-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f907b835-cb6b-4596-9ae6-38436d1cd640,"2014-02-21 18:08:59"
4090253,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bf1c8f66-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d77a1e50-083a-46d5-b7bc-156b4843ba93,"2014-02-21 18:08:59"
4102467,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bf899a97-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:348090d4-0033-44d1-9325-acc3e88b195f,"2014-02-21 18:08:59"
4117015,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,c003e734-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6cc0fa67-b2a4-4a1e-867c-0c7515412735,"2014-02-21 18:08:59"
4102466,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,bf8998e6-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:afb4b068-90a2-44cd-ba08-48eb74d551eb,"2014-02-21 18:08:59"
4121785,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,c0662ecd-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:ec5a8c23-b9b4-498f-a67f-8ff0f2187cac,"2014-02-21 18:08:59"
4144203,unknown,,unknown,,"Delphinium alpestre",18136,,Delphinium,alpestre,,,,51c41ded-2e09-41d2-ace1-74b911877c69,urn:uuid:4ed96600-209a-49d9-9cb4-a893381f1562,"2014-02-21 18:08:59"
