id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
374251,UCR,,,PreservedSpecimen,UCR-BPS-40021,,UCR-40021,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"W.A. Weber","Hans Beck",16995,1983-08-01,1983,8,1,213,,1983-8-1,,"S facing shaly banks",,,,,,,,,,,Flowering,,,,,,,"United States",Colorado,Montrose,,"Black Canyon of the Gunnison National Monument: S rim; E Portal Road",,,,,,,,,,,,,,,,,,,,,,,"2021-10-16 14:58:12",1579229,9,urn:uuid:aaf24185-f309-42f4-b775-5a0624e2899d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374251
374252,UCR,,,PreservedSpecimen,UCR-BPS-51635,,UCR-51635,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,"A.C. Sanders",1987,,,,,,"G.F. Pratt",,s.n.,1987-08-02,1987,8,2,214,,1987-8-2,,"Weedy field with willows adjacent",,,,,,,,,,,Flowering,,,,,,,"United States",Colorado,Gunnison,,"Gunnison, 1 mi south of town on a small road off Route 50",,,,,,,,,,,,,,2439,,,,,,,,,"2021-10-16 14:58:15",1579320,9,urn:uuid:417b0373-18ad-4b5e-aea9-ca8f918cf727,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374252
374253,UCR,,,PreservedSpecimen,UCR-BPS-49854,,UCR-49854,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"W.A. Weber",,17805,1986-07-08,1986,7,8,189,,1986-7-8,XXX,"On friable white shale, with southern exposure.",,,,,,,,,,,Flowering,,,,,,,"United States",Colorado,"Rio Blanco",,"Piceance Creek Rd upstream from Rock School.",,,,,,,,,,,,,,,,,,,,,,,"2021-10-16 14:58:15",1579322,9,urn:uuid:9afb4c84-5ae6-4756-82f1-fa9367b41136,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374253
374254,UCR,,,PreservedSpecimen,UCR-BPS-51483,,UCR-51483,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,"A.C. Sanders",1987,,,,,,"G.F. Pratt",,s.n.,1987-08-02,1987,8,2,214,,1987-8-2,,"Waste meadow near center of town, associated with alfalfa, prickly pear, and various weeds.",,,,,,,,,,,Flowering,,,,,,,"United States",Colorado,Chaffee,,"Poncha Springs, on Route 50 c. 5 mi west of Salida",,,,,,,,,,,,,,2439,,,,,,,,,"2021-10-16 14:58:15",1579337,9,urn:uuid:feaad1a1-e261-425c-b74b-1faed89a3233,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374254
374255,UCR,,,PreservedSpecimen,UCR-BPS-48793,,UCR-48793,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum|Eriogonum lonchophyllum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum var. saurinum",64550,"(Reveal) S.L.Welsh",Eriogonum,,lonchophyllum,var.,saurinum,Variety,,,,,,,,"David Charlton",,988,1987-08-11,1987,8,11,223,,1987-8-11,XXX,"Lodgepole pine forest with both wet and dry meadows along the Yellowstone River drainage. Red or tan soils, with rolling hills, yellow cliffs. On slopes.",,,,,,,,,,,Flowering,,,,,,,"United States",Utah,Duchesne,,"Uinta National Forest, Swift Creek Trailhead, Uinta Primitive Area. South-central section north of Duchesne.",,,,,,,,,,,,,,2439,,,,,,,,,"2021-10-16 14:58:14",1517599,9,urn:uuid:80984812-3ea9-4c19-bc6c-7f6aa70f037f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=374255
505231,CS,,,PreservedSpecimen,02285535-c7a4-4f4d-892d-9a88615b2d95,142948,72099,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"collectors: E Neese 15950",,,1984-07-17,1984,7,17,199,,"17 Jul 1984",,"clay soil",,,,,,,,,,"Atriplex, Prunus",,,,,,1,,"United States",Colorado,"Fremont County",,"2 mi N of Canon City",,,,38.48,-105.2,WGS84,,,,,,,,1691,,,,,5548ft.,,en,,"2017-01-16 18:01:43",41937,30,urn:uuid:02285535-c7a4-4f4d-892d-9a88615b2d95,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505231
505232,CS,,,PreservedSpecimen,87dd98d1-d632-4239-b95c-8eb33e194259,142950,36092,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"collectors: C William & T Penland 4621",,,1955-08-22,1955,8,22,234,,"22 Aug 1955",,"dry clay & shale soil",,,,,,,,,,,,,,,,1,,"United States",Colorado,"Fremont County",,"3 mi S of Florence",,,,38.34,-105.1,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 18:01:43",41939,30,urn:uuid:87dd98d1-d632-4239-b95c-8eb33e194259,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505232
505233,CS,,,PreservedSpecimen,9bd33469-a318-44f1-881a-54e6b6435715,142949,48208,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"collectors: J Reveal & G Davidse 871",,,1967-08-22,1967,8,22,234,,"22 Aug 1967",,"low exposed clay ridges & slopes",,,,,,,,,,,,,,,,1,,"United States",Colorado,"Fremont County",,"6 mi E of Canon City & 3 mi N of Florence along US Hwy 50",,,,38.48,-105.28,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 18:01:43",41938,30,urn:uuid:9bd33469-a318-44f1-881a-54e6b6435715,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505233
505234,CS,,,PreservedSpecimen,60e51196-b3c3-445f-b450-85fe4e31208b,142951,55716,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"collectors: S O'Kane & J Anderson 2198",,,1985-07-30,1985,7,30,211,,"30 Jul 1985",,,,,,,,,,,,"Atriplex, Frankenia, Cercocarpus",,,,,,1,,"United States",Colorado,"Fremont County",,"Grey hills & escarpment near Wilson Ck, .5 mi W of Fourmile Ck Rd, ca 4.7 mi N of Canyon City",,,,38.49,-105.22,WGS84,,,,,,,,1707,,,,,5601ft.,,en,,"2017-01-16 18:01:42",41940,30,urn:uuid:60e51196-b3c3-445f-b450-85fe4e31208b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505234
505367,CS,,,PreservedSpecimen,9d5a0487-7360-4bd3-b129-6aaa35229878,142919,48212,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum",Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,"Eriogonum lonchophyllum",18202,"Torr. & Gray",Eriogonum,,lonchophyllum,,,Species,,,,,,,,"collectors: J Reveal & G Davidse 944",,,1967-09-07,1967,9,7,250,,"7 Sep 1967",,"moist rdbanks",,,,,,,,,,,,,,,,1,,"United States",Colorado,"Archuleta County",,".5 mi N of Rio Blanco Bridge along US Hwy 84, 10.5 mi S of jct of US Hwys 84 & 160 near Pagosa Springs",,,,37.17,-106.94,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 18:00:25",41908,30,urn:uuid:9d5a0487-7360-4bd3-b129-6aaa35229878,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=505367
