coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4086799,unknown,,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bbe60d9f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:c4905f4a-9ebc-41ae-aca3-1aa785f3340d,"2014-02-21 18:08:59"
4086802,unknown,,unknown,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe60f44-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:e9363983-31ee-47f7-8c0d-f92a433001e0,"2014-02-21 18:08:59"
4087011,"James L. Reveal,",,1967-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe6efaa-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:1cb56e94-f2dc-4ea2-9194-02288dad39f2,"2014-02-21 18:08:59"
4087019,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe6f81f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:044f8bdb-2fd7-4824-afd1-df4efb166c80,"2014-02-21 18:08:59"
4087022,"E. DeBruin,",,1986-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe6fd3c-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:987bf204-8243-428e-939a-27552041faba,"2014-02-21 18:08:59"
4087027,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe705bb-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:565baeb2-bed1-4de7-928b-abcea36ebe13,"2014-02-21 18:08:59"
4087029,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe7092d-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:b1c659b5-abcf-4993-88fe-38f91239f742,"2014-02-21 18:08:59"
4087033,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe70ff1-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:549c716d-c18d-4d41-be0a-432c9fa88080,"2014-02-21 18:08:59"
4087036,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe71511-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:e8ead734-ab94-4a55-9ad6-57191cca3095,"2014-02-21 18:08:59"
4087078,"R. Sivinski,",,1997-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe76adf-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f6182028-e554-4915-85e1-42856e604e09,"2014-02-21 18:08:59"
4087080,"James L. Reveal,",,unknown,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe76f78-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:fec112f7-d0aa-42c8-8750-7f7ebc54292e,"2014-02-21 18:08:59"
4087083,"James L. Reveal,",,1967-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe7766c-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:5f00bc38-f3e9-4f15-bc35-0f83c8c65978,"2014-02-21 18:08:59"
4087086,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe77d5e-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6c6bfb1b-36fd-495b-b4c7-b935c01f9bd5,"2014-02-21 18:08:59"
4087087,"James L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. nudicaule",1,,Eriogonum,lonchophyllum,var.,nudicaule,,bbe77fb2-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:5e817659-002b-4d3f-aaa3-b1247cd752c3,"2014-02-21 18:08:59"
4087105,"J.L. Reveal,",,1970-01-01,,"Eriogonum lonchophyllum var. fendlerianum",1,,Eriogonum,lonchophyllum,var.,fendlerianum,,bbe790d4-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:bc008ed6-6514-4356-91d0-972bd791919a,"2014-02-21 18:08:59"
4103362,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,bf9066ac-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:c488afed-663c-447f-a28e-fc7ac50db188,"2014-02-21 18:08:59"
4104440,unknown,,unknown,,"Eriogonum lonchophyllum var. lonchophyllum",1,,Eriogonum,lonchophyllum,var.,lonchophyllum,,bc14155f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:657f1ebd-4353-4e00-8445-620637d89dea,"2014-02-21 18:08:59"
4108286,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,bfb71c98-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6ce801af-d6f3-4e63-b9a2-783bee56730d,"2014-02-21 18:08:59"
4115936,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,bffbbc0f-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:7745f626-74f5-4970-b12b-76d3c05f5926,"2014-02-21 18:08:59"
4119542,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,c04b3495-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:114175f7-b146-42a0-b4c6-3ea8eeffd958,"2014-02-21 18:08:59"
4119542,unknown,,unknown,,"Eriogonum nudicaule",0,,Eriogonum,nudicaule,,,,c04b32ea-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d245ddd0-c6bb-4432-b4c8-b87c891fac13,"2014-02-21 18:08:59"
4121074,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,c05fa51c-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:b9320bad-54b7-4baf-89c5-a0d0b875f850,"2014-02-21 18:08:59"
4143620,unknown,,unknown,,"Eriogonum lonchophyllum",1,,Eriogonum,lonchophyllum,,,,298f5771-c0dc-4a17-a639-c1ef7777d805,urn:uuid:2ca7ac28-fb05-4b34-8fb2-d50ea0ca3902,"2014-02-21 18:08:59"
1191297,,,,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:cf7bb315-9410-45f6-86df-ec0728756a09,"2014-10-03 06:18:38"
1191297,"not specified",,"not specified",,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:b9b55c22-4606-4b17-b9fb-d63adf2c4cda,"2021-01-07 16:23:24"
1195946,,,,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:32b0c298-4339-445e-97f2-6ec8ebe77733,"2014-10-03 06:18:38"
1195946,"not specified",,"not specified",,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:627b8a35-8469-4752-9c09-8f37d05ee21c,"2021-01-07 16:23:24"
1402425,,,,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:949ff3c2-b587-4731-903d-e6fe7d2409d7,"2014-10-03 06:18:38"
1402425,"not specified",,"not specified",,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:77d12a81-bc49-4c7d-b0d4-9c8bcc7b6f46,"2021-01-07 16:23:24"
1402909,,,,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:9fbf98bd-413c-4895-b9d3-567ce7acc60e,"2014-10-03 06:18:38"
1402909,"not specified",,"not specified",,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:8163c16c-ac3e-4051-8393-dba0694defc1,"2021-01-07 16:23:24"
1502510,,,1978-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e5e471cf-a4d9-4721-bffc-a2265e371623,"2014-10-03 06:18:38"
1502510,"not specified",,1978-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:978e0a7b-ef86-447d-83c9-ce8d009c4326,"2021-01-07 16:23:24"
1502512,,,1978-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:7c249789-d901-43b0-a0ff-faac351ea113,"2014-10-03 06:18:38"
1502512,"not specified",,1978-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:66bfb57b-607a-420b-a2c7-c05d0c0ba9b7,"2021-01-07 16:23:24"
1502585,,,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:ec0490ad-3ae1-402b-b358-f79807972f7c,"2014-10-03 06:18:38"
1502585,"not specified",,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:05a202b5-647d-469f-a0fb-0060e62ef041,"2021-01-07 16:23:24"
1503034,,,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:c467f2db-9aeb-48f0-ac49-8975386904eb,"2014-10-03 06:18:38"
1503034,"not specified",,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:179ad91d-fb83-4868-a463-e40623f81e09,"2021-01-07 16:23:24"
1503955,,,1979-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:60a4d784-8b29-444d-8981-7c3fe9204696,"2014-10-03 06:18:38"
1503955,"not specified",,1979-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:ed0808c0-54d2-4d32-beab-bf49c8acdb12,"2021-01-07 16:23:24"
1503974,,,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:100b9c92-95a6-4503-9ae0-c4409e1a18c5,"2014-10-03 06:18:38"
1503974,"not specified",,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e8bad5bb-6007-4114-90de-664275233756,"2021-01-07 16:23:24"
1504102,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:23fcbf4d-1c00-4095-b1ef-3ea9e6fc3255,"2014-10-03 06:18:38"
1504102,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:8850cf41-41b3-49b8-8779-674a716bbe2a,"2021-01-07 16:23:24"
1504588,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:2c6f9afd-7482-4a8a-867b-97daa53cb870,"2014-10-03 06:18:38"
1504588,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:6ac176d2-935d-4ffc-8af7-6592463fb5d4,"2021-01-07 16:23:24"
1504737,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:6733e521-034e-469c-875c-b377e76d3309,"2014-10-03 06:18:38"
1504737,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:909548ad-79f2-492c-bb5a-27b13b55d15d,"2021-01-07 16:23:24"
1506095,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e9a6950e-4108-4c0c-b074-a172ecf0f1f7,"2014-10-03 06:18:38"
1506095,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:fc924030-6362-448f-a9ee-2afaa636c985,"2021-01-07 16:23:24"
1506247,,,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:0b67801c-a136-4014-9ae9-610bf9831605,"2014-10-03 06:18:38"
1506247,"not specified",,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:49fc0ec5-c545-45d3-99d7-b563945d30e9,"2021-01-07 16:23:24"
1506351,,,1967-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:ebbcbd07-340d-4a66-a0b8-ea23796b9d45,"2014-10-03 06:18:38"
1506351,"not specified",,1967-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:9c6d18e3-5ddf-4351-b106-e016b397eb9f,"2021-01-07 16:23:24"
1507122,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:760d6919-d991-4925-83e2-6817a2bf3b17,"2014-10-03 06:18:38"
1507122,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:7707d9fb-f379-447d-a929-3022328bad6a,"2021-01-07 16:23:24"
1507124,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:b4b11b6c-bfc8-487e-8a95-20b5ebe4f1bd,"2014-10-03 06:18:38"
1507124,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:b94240dc-2207-4e39-8e5c-421b77692326,"2021-01-07 16:23:24"
1507313,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:5bba0eee-4121-4eda-94ed-7a2593d359e4,"2014-10-03 06:18:38"
1507313,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:c85bcba1-faa0-475c-b9be-afb47bac6e3f,"2021-01-07 16:23:24"
1507672,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:a8bf3e1a-df1b-45ec-b6d1-3d264af8ecab,"2014-10-03 06:18:38"
1507672,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:23598ea4-a23f-4c25-8134-40c28f902820,"2021-01-07 16:23:24"
1510748,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e50c311a-83a0-4bdf-99f9-99af5b324a32,"2014-10-03 06:18:38"
1510748,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:7ca4cc04-d75d-492c-a431-8081c69e6c72,"2021-01-07 16:23:24"
1510919,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:fbccbf88-7b71-4eb0-9cfe-bc84a1fb36bd,"2014-10-03 06:18:38"
1510919,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:b4c802c7-32ba-48a4-af98-965c36a5bec3,"2021-01-07 16:23:24"
1511254,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e4f47181-c459-49e6-8aa8-5b007b75d1b7,"2014-10-03 06:18:38"
1511254,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e98e0582-d7dd-4e4e-b1a2-d73c835662ee,"2021-01-07 16:23:24"
1511257,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:c0b649e6-fa1d-4a4d-905c-ecd156d2ba6e,"2014-10-03 06:18:38"
1511257,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:645c28c4-57b3-489e-83af-1162f134ef86,"2021-01-07 16:23:24"
1511675,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:fccb8bc9-1134-45a5-94ed-3008ec049439,"2014-10-03 06:18:38"
1511675,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:17bfb628-9aab-4cb3-9bc1-c98228e1edd4,"2021-01-07 16:23:24"
1511676,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:d0806ef4-c130-41d4-9516-5eb9ea5613ec,"2014-10-03 06:18:38"
1511676,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:2f9682fa-bd83-4578-bd6f-d773ad7b19a5,"2021-01-07 16:23:24"
1511690,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:ec9f23c2-4672-4315-967e-cb0fa349df6d,"2014-10-03 06:18:38"
1511690,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:70acaa41-7a06-4d6f-8866-712c27bdd0b4,"2021-01-07 16:23:24"
1512340,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:26c8297c-f1d2-40d3-b4e0-b59c43a914cc,"2014-10-03 06:18:38"
1512340,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e28c39b2-686b-40b8-993d-5d73a04f7f03,"2021-01-07 16:23:24"
1512420,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:c937c810-6ca1-4fd3-a190-2f5500914322,"2014-10-03 06:18:38"
1512420,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:f22a2330-07d0-4080-8a61-11cdc2734531,"2021-01-07 16:23:24"
1512421,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:8997d32a-002d-4b1b-befa-93a0cb934290,"2014-10-03 06:18:38"
1512421,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:7a5d7e53-1a35-4339-aa2e-ce7667f50ae1,"2021-01-07 16:23:24"
1513370,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:941bb4e8-fa26-4997-a22c-328dd768d2eb,"2014-10-03 06:18:38"
1513370,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:3f1393ce-6c25-4b29-b077-2b854acc35f4,"2021-01-07 16:23:24"
1513523,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e8163602-7bb3-42db-88eb-1e06eae08c7c,"2014-10-03 06:18:38"
1513523,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:dbaaa053-787e-45f0-995b-31bc67b6d30c,"2021-01-07 16:23:24"
1513800,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:b0f03d21-647b-4052-9301-75b1d801af11,"2014-10-03 06:18:38"
1513800,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:5dd9fab2-047a-4230-bde0-212b01cb0b56,"2021-01-07 16:23:24"
1513842,,,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:bdf2bfae-b552-48ea-a48b-3347a4d87e31,"2014-10-03 06:18:38"
1513842,"not specified",,1971-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:6d1ece28-9a9f-4e5f-aaa3-4859e13ac32c,"2021-01-07 16:23:24"
1514109,,,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:18021436-fa11-486e-a331-556610203188,"2014-10-03 06:18:38"
1514109,"not specified",,1976-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:e7e3adc9-6188-4953-b955-34ae59caf744,"2021-01-07 16:23:24"
1514661,,,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:6988deb7-5dce-49d4-9a2d-d1b6259f3ce4,"2014-10-03 06:18:38"
1514661,"not specified",,2003-00-00,,"Eriogonum lonchophyllum",0,"Torr. & A. Gray",,,,,,,urn:uuid:f411bc85-2e5f-44a8-b85f-ff75d9f25372,"2021-01-07 16:23:24"
