coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4112485,"Sivinski, Robert",,2011-01-01,,"Delphinium robustum",18142,,Delphinium,robustum,,,,c0313a81-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:6b127981-f63e-45b1-afec-93c992cb0e8d,"2014-02-21 18:08:59"
4112485,"M. Schiebout,",,unknown,,"Delphinium ramosum",18141,,Delphinium,ramosum,,,,bfdc588b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:58974d96-00e2-4bad-96ec-b9b272189e62,"2014-02-21 18:08:59"
4067049,unknown,,unknown,,"Delphinium robustum",18142,,Delphinium,robustum,,,,be583207-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:7658af65-e28b-4e62-b50c-6de8d7bc92de,"2014-02-21 18:08:59"
4031019,"R.C. Sivinski,",,1999-01-01,,"Delphinium robustum",18142,,Delphinium,robustum,,,,bd1519ea-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d4bcab50-4a3b-4366-8e9b-1108760b218e,"2014-02-21 18:08:59"
4031019,unknown,,unknown,,"Delphinium sapellonis",18143,,Delphinium,sapellonis,,,,c0574ff5-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:a5b750ef-bfc9-4746-a260-d36c8cc26ead,"2014-02-21 18:08:59"
4031018,"R.C. Sivinski,",,1999-01-01,,"Delphinium robustum",18142,,Delphinium,robustum,,,,bd150a4c-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f5806bdc-09a9-4591-8158-cf29e2e5f4ab,"2014-02-21 18:08:59"
4031018,unknown,,unknown,,"Delphinium scopulorum",8330,,Delphinium,scopulorum,,,,c057534b-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d2fac44d-e30d-41a8-907a-6f6c4a147f5d,"2014-02-21 18:08:59"
4033095,unknown,,unknown,,"Delphinium robustum",18142,,Delphinium,robustum,,,,bd254c57-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:d328e124-7cc4-4462-851f-dccbd677e5f9,"2014-02-21 18:08:59"
4023700,"R.C. Sivinski,",,1999-01-01,,"Delphinium robustum",18142,,Delphinium,robustum,,,,bce55ff8-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:92d1bbd3-d099-45fb-9c98-8d2e05f4c536,"2014-02-21 18:08:59"
4023700,unknown,,unknown,,"Delphinium occidentale",80828,,Delphinium,occidentale,,,,c05751a0-14e0-11e3-8973-bc305bdb3ca6,urn:uuid:f27ac58a-4770-47bc-9886-7346b472700f,"2014-02-21 18:08:59"
4821916,,,1993-00-00,,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:9af616fe-4791-449a-bd5d-7cdf8f26f49b,"2014-10-03 06:18:38"
4821916,"not specified",,1993-00-00,,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:227fe739-32c3-4b9f-a1cc-3543ae1dd2e3,"2021-01-07 16:23:24"
4821917,,,1993-00-00,,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:777d0ed7-e3c7-40a4-9298-0d0d75423615,"2014-10-03 06:18:38"
4821917,"not specified",,1993-00-00,,"Delphinium robustum",,Rydb.,,,,,,,urn:uuid:bc17867e-df44-4b3a-87e1-cee24bc37dc7,"2021-01-07 16:23:24"
23793787,"not specified",,"not specified",,"Delphinium robustum Rydberg",,Rydberg,,,,,,,urn:uuid:e0c8c6ac-bc9a-427c-bd0c-e1b39eb029c7,"2020-02-13 13:52:16"
23793783,"not specified",,"not specified",,"Delphinium robustum Rydberg",,Rydberg,,,,,,,urn:uuid:95d95a25-91de-42bf-a05e-ad4622292ee4,"2020-02-13 13:52:16"
23793784,"not specified",,"not specified",,"Delphinium robustum Rydberg",,Rydberg,,,,,,,urn:uuid:bec95904-1311-4db1-91fa-048a78caacef,"2020-02-13 13:52:16"
23793786,"not specified",,"not specified",,"Delphinium robustum Rydberg",,Rydberg,,,,,,,urn:uuid:1cd67357-e910-49c0-bb89-89dd4bfbe6ad,"2020-02-13 13:52:16"
23793785,"not specified",,"not specified",,"Delphinium robustum Rydberg",,Rydberg,,,,,,,urn:uuid:b0bfd1b0-9543-4eb5-b052-8b0ca6549481,"2020-02-13 13:52:16"
