id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
4821916,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,169078,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"George E. Osterhout",,,1894,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality",,,,,,flowering,,,,,,U.S.A.,Colorado,Larimer,,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:13:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:74b49846-3dbb-4342-a20e-022c764b7de9,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821916
4821917,USFS,,USFS,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,457034,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Robert F. Copple",,,1923,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico","no county",,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:13:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2f18db46-57a9-4956-83cb-3080c0008e40,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821917
4855235,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,29812,"Barcode: RM0003604",Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,"Isotype for <i>Delphinium</i> <i>robustum</i> Rydb.. Bull. Torrey Bot. Club 28: 276. 1901.","P. A. Rydberg, F. K. Vreeland",,,1900,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation",,,,,,flowering,,,,,,U.S.A.,Colorado,,,,,,,,,,,,,,,,,,,,,,English,,"2020-12-31 23:01:39",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3255d10c-85a5-4271-adc1-4ae09f576774,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4855235
6033685,SDSU,SDC,,7b4f17b9-3058-4cc3-913e-eed0ded03bcf,PreservedSpecimen,a08eca60-4806-49ca-ad8a-4242f5db61f0,0003679,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,Collector,1938,,,,,,"L. C. Snyder",,,1938,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,flowering,,,,,,USA,Colorado,Weld,,,,,,,,,,,,,,,,,,,,,,Larson,"2018-02-15 07:40:06",http://creativecommons.org/licenses/by/3.0/,"South Dakota State University",,urn:uuid:a08eca60-4806-49ca-ad8a-4242f5db61f0,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=6033685
6050744,SJNM,,,c8f35b21-bd08-49a4-97a8-4328d4a0e1d9,PreservedSpecimen,69e8eea2-5f81-40dc-9d56-579a170c1c83,SJNM-V-0060480,66296,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Heil, Kenneth D.; Hyder, Don; Martinez, Adam",,,2014,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude",,,,,,,,,,,,"United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,,"2021-09-24 10:23:01",http://creativecommons.org/licenses/by-nc/3.0/,"San Juan College",,urn:uuid:1587096d-2935-4f2d-af52-b3e1cc986e3d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=6050744
11246133,FLD,,,815eb8f4-831d-40e7-82dc-a2b5699b04ee,PreservedSpecimen,3563c68e-b2b8-4429-bd36-c0c1937dd2c2,FLD0011347,012943,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Al Schneider",,,2015,,,,,,"Plants to 181 cm. Flowers blue to dusky blue/gray.",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, decimalLatitude, decimalLongitude, habitat",,,,,"Pedicularis procera",Flower,,,,,,"United States",Colorado,Montezuma,,,,,,,,,,,,,,,,,,,,,,rmccauley,"2019-01-08 13:10:49",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3563c68e-b2b8-4429-bd36-c0c1937dd2c2,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11246133
11480691,NO,"Vascular Plants",LSU(NO),fe609977-5b39-49c5-905a-32ca83233244,PreservedSpecimen,76119fd5-0ad7-43d9-9291-1436747bb21f,NO0056535,s.n.,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Delzie Demaree",,,1968,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",,,,,,,,,,,,"United States",Colorado,Huerfano,,,,,,,,,,,,,,,,,,,,,,hdouget,"2018-02-06 01:49:13",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:76119fd5-0ad7-43d9-9291-1436747bb21f,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11480691
11480693,NO,"Vascular Plants",LSU(NO),fe609977-5b39-49c5-905a-32ca83233244,PreservedSpecimen,60973d12-dea2-4b4a-a6e3-830d02372a68,NO0056536,s.n.,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Jennie M. Archibald",,,1900,,,,,,,,,,"field values redacted: eventDate, verbatimEventDate, recordNumber",,,,,,,,,,,,"United States",Colorado,,,,,,,,,,,,,,,,,,,,,,,hdouget,"2018-02-06 01:49:13",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:60973d12-dea2-4b4a-a6e3-830d02372a68,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11480693
12099644,CM,Botany,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,PreservedSpecimen,D6E6D7F6-7B0F-4DEC-A1B2-D32300CECE1E,CM443776,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,,,,,,,,"Heller, H.H.",,,1935,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferencedBy, georeferenceSources",,,,,,fl,,,,,,"United States",Colorado,Boulder,,,,,,,,,,,,,,,,,,,,,,,"2005-03-02 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,"Carnegie Museum of Natural History",,urn:uuid:50d50610-ef27-4b0b-8d72-69ffaef76c3d,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=12099644
13400711,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,4102751b-1baa-4818-967c-1f54c5657fff,UNM0133987,133987,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium robustum",18142,Rydb.,Delphinium,,robustum,,,Species,"R.C. Sivinski, P.C. Tonne and T.K. Lowrey",,,,,,,"David Bleakly",,,1997,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceRemarks, georeferencedBy, georeferenceProtocol, georeferenceSources, georeferenceVerificationStatus",,,,,,,,,,,"Sheets - 1","United States","New Mexico","Rio Arriba",,,,,,,,,,,,,,,,,,,,,,,"2020-05-11 13:43:15",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4102751b-1baa-4818-967c-1f54c5657fff,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=13400711
