coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4731193,,,2009-05-16,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:550d3094-3b25-4bee-80b9-609cbdc25cef,"2014-10-03 06:18:38"
4731193,"not specified",,2009-05-16,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:a1d276b0-f20d-4161-918e-2c20ed567f07,"2021-01-07 16:23:24"
4727467,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f3cce9df-b6a9-46f1-9bf7-fe7b20624981,"2014-10-03 06:18:38"
4727467,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:ab7ecc89-d464-430e-a519-acbfa05d6c7e,"2021-01-07 16:23:24"
4727304,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:b0647cc1-bb7f-4df7-a3fc-70b8963cab9d,"2014-10-03 06:18:38"
4727304,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:a50b2e8e-42b7-4a37-9d5c-fb954d305a79,"2021-01-07 16:23:24"
13075837,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:df79440e-e0d3-4c09-9cbf-77516a384190,"2021-01-07 16:23:24"
13076607,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:0567c403-527d-40a0-9988-58b4f699a1be,"2021-01-07 16:23:24"
4727219,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:5d8344e0-73e5-4e4d-a675-13e377aa189b,"2014-10-03 06:18:38"
4727219,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:74e80e71-42e2-4738-ab2b-474eac6d65ec,"2021-01-07 16:23:24"
4726151,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:7f77b3b6-f8fa-4736-b892-49e1d45c3cc0,"2014-10-03 06:18:38"
4726151,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:37e9b785-fa09-436f-a602-7476fa21037e,"2021-01-07 16:23:24"
4726627,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:dee0282f-d391-422f-b887-a332e145b5de,"2014-10-03 06:18:38"
4726627,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:43bf5f11-788e-4e5d-be2a-517052b9a33c,"2021-01-07 16:23:24"
4727051,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:8fe780d9-e6c5-4f41-9044-ecc316da708c,"2014-10-03 06:18:38"
4727051,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:fb2d2a6c-d863-414c-bcac-95d4a75f39f9,"2021-01-07 16:23:24"
